Lost,n
GO:0010038,7
GO:0010259,7
GO:0015179,7
GO:0015296,7
GO:0015807,7
GO:0016298,7
GO:0016310,7
GO:0016597,7
GO:0016628,7
GO:0016747,7
GO:0031406,7
GO:0032870,7
GO:0034480,7
GO:0035821,7
GO:0042558,7
GO:0044003,7
GO:0048878,7
GO:0051817,7
GO:0052008,7
GO:0052043,7
GO:0052111,7
GO:0052185,7
GO:0052188,7
GO:0052368,7
GO:0071368,7
GO:0072350,7
GO:0001654,6
GO:0006004,6
GO:0006897,6
GO:0007399,6
GO:0007417,6
GO:0007420,6
GO:0007423,6
GO:0008652,6
GO:0008794,6
GO:0009439,6
GO:0009440,6
GO:0009887,6
GO:0009898,6
GO:0010876,6
GO:0012505,6
GO:0017085,6
GO:0019098,6
GO:0019725,6
GO:0019915,6
GO:0030611,6
GO:0030613,6
GO:0030614,6
GO:0032504,6
GO:0033057,6
GO:0043010,6
GO:0044706,6
GO:0048468,6
GO:0048519,6
GO:0048592,6
GO:0048593,6
GO:0048609,6
GO:0051239,6
GO:0055082,6
GO:0001666,5
GO:0004040,5
GO:0004609,5
GO:0005790,5
GO:0006694,5
GO:0006996,5
GO:0007267,5
GO:0008202,5
GO:0008446,5
GO:0008654,5
GO:0009266,5
GO:0009297,5
GO:0015138,5
GO:0015140,5
GO:0015141,5
GO:0015172,5
GO:0015183,5
GO:0015366,5
GO:0015556,5
GO:0015740,5
GO:0015741,5
GO:0015743,5
GO:0015744,5
GO:0015800,5
GO:0015810,5
GO:0016023,5
GO:0016229,5
GO:0016645,5
GO:0030001,5
GO:0030030,5
GO:0030031,5
GO:0030135,5
GO:0031410,5
GO:0031982,5
GO:0031988,5
GO:0035690,5
GO:0036293,5
GO:0042493,5
GO:0043711,5
GO:0044455,5
GO:0046873,5
GO:0048583,5
GO:0051130,5
GO:0070482,5
GO:0070778,5
GO:0071422,5
GO:0071423,5
GO:1901607,5
GO:1901700,5
GO:0000096,4
GO:0002237,4
GO:0004672,4
GO:0005509,4
GO:0005789,4
GO:0006124,4
GO:0006468,4
GO:0006760,4
GO:0008115,4
GO:0009607,4
GO:0009617,4
GO:0009991,4
GO:0010243,4
GO:0010638,4
GO:0016301,4
GO:0016647,4
GO:0016772,4
GO:0016773,4
GO:0019478,4
GO:0031667,4
GO:0032879,4
GO:0033043,4
GO:0042175,4
GO:0044272,4
GO:0044273,4
GO:0044428,4
GO:0044432,4
GO:0046416,4
GO:0046653,4
GO:0050801,4
GO:0051537,4
GO:0051707,4
GO:0055065,4
GO:0055076,4
GO:0055080,4
GO:0071241,4
GO:0071248,4
GO:0071417,4
GO:1901698,4
GO:1901699,4
GO:1901701,4
GO:0000041,3
GO:0000098,3
GO:0000155,3
GO:0001505,3
GO:0001678,3
GO:0001754,3
GO:0001963,3
GO:0001975,3
GO:0003007,3
GO:0003008,3
GO:0003407,3
GO:0003954,3
GO:0004510,3
GO:0004511,3
GO:0004673,3
GO:0004872,3
GO:0005381,3
GO:0005504,3
GO:0005515,3
GO:0005746,3
GO:0005747,3
GO:0006119,3
GO:0006120,3
GO:0006534,3
GO:0006570,3
GO:0006571,3
GO:0006582,3
GO:0006584,3
GO:0006585,3
GO:0006587,3
GO:0006643,3
GO:0006665,3
GO:0006706,3
GO:0006707,3
GO:0006720,3
GO:0006726,3
GO:0006826,3
GO:0006873,3
GO:0006875,3
GO:0006879,3
GO:0006898,3
GO:0006909,3
GO:0007010,3
GO:0007166,3
GO:0007219,3
GO:0007268,3
GO:0007270,3
GO:0007444,3
GO:0007507,3
GO:0007564,3
GO:0007591,3
GO:0007593,3
GO:0007600,3
GO:0007601,3
GO:0007605,3
GO:0007611,3
GO:0007612,3
GO:0007613,3
GO:0007616,3
GO:0007617,3
GO:0007618,3
GO:0007619,3
GO:0007622,3
GO:0007623,3
GO:0007631,3
GO:0007638,3
GO:0008016,3
GO:0008021,3
GO:0008049,3
GO:0008137,3
GO:0008203,3
GO:0008289,3
GO:0008344,3
GO:0008417,3
GO:0008738,3
GO:0009073,3
GO:0009093,3
GO:0009095,3
GO:0009106,3
GO:0009107,3
GO:0009225,3
GO:0009226,3
GO:0009249,3
GO:0009268,3
GO:0009309,3
GO:0009314,3
GO:0009414,3
GO:0009415,3
GO:0009416,3
GO:0009507,3
GO:0009532,3
GO:0009536,3
GO:0009570,3
GO:0009611,3
GO:0009612,3
GO:0009635,3
GO:0009713,3
GO:0009743,3
GO:0009746,3
GO:0009749,3
GO:0009767,3
GO:0009890,3
GO:0009892,3
GO:0009966,3
GO:0009967,3
GO:0010042,3
GO:0010043,3
GO:0010045,3
GO:0010171,3
GO:0010226,3
GO:0010447,3
GO:0010558,3
GO:0010605,3
GO:0010629,3
GO:0010632,3
GO:0010646,3
GO:0010647,3
GO:0010842,3
GO:0010927,3
GO:0012506,3
GO:0014070,3
GO:0014075,3
GO:0014823,3
GO:0015343,3
GO:0015603,3
GO:0015658,3
GO:0015688,3
GO:0015803,3
GO:0015837,3
GO:0015842,3
GO:0015891,3
GO:0015979,3
GO:0016125,3
GO:0016127,3
GO:0016137,3
GO:0016775,3
GO:0016832,3
GO:0016846,3
GO:0017015,3
GO:0018065,3
GO:0018126,3
GO:0018963,3
GO:0018991,3
GO:0019148,3
GO:0019226,3
GO:0019317,3
GO:0019447,3
GO:0019566,3
GO:0019568,3
GO:0019571,3
GO:0019673,3
GO:0019684,3
GO:0019825,3
GO:0019842,3
GO:0020011,3
GO:0021537,3
GO:0021543,3
GO:0021545,3
GO:0021550,3
GO:0021564,3
GO:0021675,3
GO:0021700,3
GO:0021744,3
GO:0021783,3
GO:0021987,3
GO:0022008,3
GO:0022404,3
GO:0022410,3
GO:0023014,3
GO:0023051,3
GO:0023056,3
GO:0030003,3
GO:0030016,3
GO:0030017,3
GO:0030029,3
GO:0030036,3
GO:0030136,3
GO:0030182,3
GO:0030239,3
GO:0030278,3
GO:0030279,3
GO:0030334,3
GO:0030424,3
GO:0030425,3
GO:0030511,3
GO:0030534,3
GO:0030659,3
GO:0030879,3
GO:0030900,3
GO:0030902,3
GO:0030964,3
GO:0031032,3
GO:0031033,3
GO:0031034,3
GO:0031076,3
GO:0031177,3
GO:0031324,3
GO:0031327,3
GO:0031960,3
GO:0032025,3
GO:0032094,3
GO:0032355,3
GO:0032496,3
GO:0032989,3
GO:0033076,3
GO:0033162,3
GO:0033212,3
GO:0033214,3
GO:0033218,3
GO:0033238,3
GO:0033267,3
GO:0033293,3
GO:0033500,3
GO:0033765,3
GO:0033993,3
GO:0034284,3
GO:0034607,3
GO:0034617,3
GO:0034755,3
GO:0035094,3
GO:0035176,3
GO:0035178,3
GO:0035220,3
GO:0035240,3
GO:0035637,3
GO:0035902,3
GO:0036065,3
GO:0038023,3
GO:0040002,3
GO:0040008,3
GO:0040009,3
GO:0040010,3
GO:0040012,3
GO:0040014,3
GO:0040018,3
GO:0040024,3
GO:0040040,3
GO:0042053,3
GO:0042069,3
GO:0042133,3
GO:0042136,3
GO:0042214,3
GO:0042303,3
GO:0042335,3
GO:0042350,3
GO:0042351,3
GO:0042354,3
GO:0042355,3
GO:0042401,3
GO:0042414,3
GO:0042415,3
GO:0042416,3
GO:0042417,3
GO:0042418,3
GO:0042421,3
GO:0042423,3
GO:0042427,3
GO:0042428,3
GO:0042435,3
GO:0042438,3
GO:0042440,3
GO:0042441,3
GO:0042461,3
GO:0042462,3
GO:0042470,3
GO:0042593,3
GO:0042692,3
GO:0042745,3
GO:0042749,3
GO:0042752,3
GO:0042755,3
GO:0042773,3
GO:0042775,3
GO:0042802,3
GO:0042803,3
GO:0042927,3
GO:0043005,3
GO:0043025,3
GO:0043051,3
GO:0043052,3
GO:0043190,3
GO:0043195,3
GO:0043204,3
GO:0043279,3
GO:0043292,3
GO:0043324,3
GO:0043434,3
GO:0043473,3
GO:0043474,3
GO:0043627,3
GO:0043679,3
GO:0043900,3
GO:0044057,3
GO:0044111,3
GO:0044115,3
GO:0044297,3
GO:0044306,3
GO:0044433,3
GO:0044434,3
GO:0044435,3
GO:0044449,3
GO:0044456,3
GO:0044702,3
GO:0044703,3
GO:0044704,3
GO:0044718,3
GO:0045009,3
GO:0045187,3
GO:0045202,3
GO:0045271,3
GO:0045471,3
GO:0045472,3
GO:0045892,3
GO:0045927,3
GO:0045934,3
GO:0046146,3
GO:0046148,3
GO:0046185,3
GO:0046189,3
GO:0046219,3
GO:0046368,3
GO:0046372,3
GO:0046438,3
GO:0046530,3
GO:0046662,3
GO:0046684,3
GO:0046849,3
GO:0046915,3
GO:0046916,3
GO:0046958,3
GO:0046959,3
GO:0046983,3
GO:0047571,3
GO:0048048,3
GO:0048066,3
GO:0048067,3
GO:0048069,3
GO:0048070,3
GO:0048079,3
GO:0048082,3
GO:0048085,3
GO:0048483,3
GO:0048486,3
GO:0048489,3
GO:0048511,3
GO:0048512,3
GO:0048523,3
GO:0048545,3
GO:0048562,3
GO:0048568,3
GO:0048584,3
GO:0048596,3
GO:0048598,3
GO:0048646,3
GO:0048666,3
GO:0048699,3
GO:0048732,3
GO:0048770,3
GO:0048771,3
GO:0048857,3
GO:0050136,3
GO:0050661,3
GO:0050795,3
GO:0050877,3
GO:0050890,3
GO:0050897,3
GO:0050953,3
GO:0050954,3
GO:0051146,3
GO:0051172,3
GO:0051240,3
GO:0051241,3
GO:0051253,3
GO:0051262,3
GO:0051270,3
GO:0051289,3
GO:0051302,3
GO:0051384,3
GO:0051385,3
GO:0051412,3
GO:0051592,3
GO:0051602,3
GO:0051640,3
GO:0051648,3
GO:0051650,3
GO:0051656,3
GO:0051703,3
GO:0051705,3
GO:0052314,3
GO:0055001,3
GO:0055002,3
GO:0055052,3
GO:0055072,3
GO:0055120,3
GO:0060041,3
GO:0060042,3
GO:0060179,3
GO:0060259,3
GO:0060749,3
GO:0061061,3
GO:0061377,3
GO:0070085,3
GO:0070401,3
GO:0070469,3
GO:0070848,3
GO:0070925,3
GO:0071285,3
GO:0071287,3
GO:0071312,3
GO:0071316,3
GO:0071322,3
GO:0071326,3
GO:0071331,3
GO:0071333,3
GO:0071363,3
GO:0071407,3
GO:0071688,3
GO:0072341,3
GO:0072358,3
GO:0072359,3
GO:0075015,3
GO:0080167,3
GO:0090092,3
GO:0090100,3
GO:0090287,3
GO:0097305,3
GO:0097458,3
GO:0097479,3
GO:0097480,3
GO:1901160,3
GO:1901162,3
GO:1901338,3
GO:1901652,3
GO:1901654,3
GO:1901678,3
GO:2000026,3
GO:2000035,3
GO:2000113,3
GO:2000145,3
GO:2000241,3
GO:2000274,3
GO:0000139,2
GO:0000255,2
GO:0000256,2
GO:0000975,2
GO:0000976,2
GO:0001067,2
GO:0002009,2
GO:0003006,2
GO:0003854,2
GO:0003952,2
GO:0004175,2
GO:0004252,2
GO:0004309,2
GO:0004397,2
GO:0004769,2
GO:0005304,2
GO:0005343,2
GO:0005635,2
GO:0005654,2
GO:0005758,2
GO:0005793,2
GO:0005794,2
GO:0006646,2
GO:0006650,2
GO:0006656,2
GO:0006702,2
GO:0006704,2
GO:0006705,2
GO:0006814,2
GO:0006888,2
GO:0007030,2
GO:0007548,2
GO:0008209,2
GO:0008211,2
GO:0008212,2
GO:0008660,2
GO:0008795,2
GO:0009401,2
GO:0009436,2
GO:0009442,2
GO:0009888,2
GO:0010635,2
GO:0010636,2
GO:0010817,2
GO:0010821,2
GO:0010822,2
GO:0010954,2
GO:0015081,2
GO:0015175,2
GO:0015370,2
GO:0015562,2
GO:0015804,2
GO:0015829,2
GO:0016482,2
GO:0016860,2
GO:0016863,2
GO:0016874,2
GO:0016879,2
GO:0016880,2
GO:0016884,2
GO:0017153,2
GO:0019239,2
GO:0019541,2
GO:0030133,2
GO:0030134,2
GO:0030868,2
GO:0031300,2
GO:0031301,2
GO:0031304,2
GO:0031305,2
GO:0031970,2
GO:0031981,2
GO:0032592,2
GO:0033116,2
GO:0033764,2
GO:0034754,2
GO:0035725,2
GO:0040035,2
GO:0042398,2
GO:0042439,2
GO:0042445,2
GO:0042446,2
GO:0043605,2
GO:0044212,2
GO:0044431,2
GO:0045017,2
GO:0045165,2
GO:0045168,2
GO:0045169,2
GO:0046331,2
GO:0046337,2
GO:0046459,2
GO:0046470,2
GO:0046474,2
GO:0046486,2
GO:0046907,2
GO:0048193,2
GO:0048608,2
GO:0048729,2
GO:0048806,2
GO:0051094,2
GO:0051246,2
GO:0051247,2
GO:0051409,2
GO:0060429,2
GO:0061458,2
GO:0070613,2
GO:0071214,2
GO:0071467,2
GO:0071468,2
GO:0071500,2
GO:0072329,2
GO:0097425,2
GO:0000984,1
GO:0000986,1
GO:0000987,1
GO:0001017,1
GO:0001046,1
GO:0001047,1
GO:0001159,1
GO:0003723,1
GO:0003725,1
GO:0003727,1
GO:0004034,1
GO:0004180,1
GO:0004451,1
GO:0004474,1
GO:0004674,1
GO:0005539,1
GO:0005615,1
GO:0006012,1
GO:0006089,1
GO:0006342,1
GO:0006547,1
GO:0006548,1
GO:0006749,1
GO:0006750,1
GO:0006751,1
GO:0006797,1
GO:0006798,1
GO:0006805,1
GO:0006984,1
GO:0006986,1
GO:0007155,1
GO:0008235,1
GO:0008237,1
GO:0008238,1
GO:0008242,1
GO:0008483,1
GO:0008645,1
GO:0008894,1
GO:0009256,1
GO:0009257,1
GO:0009267,1
GO:0009396,1
GO:0009408,1
GO:0009410,1
GO:0009438,1
GO:0009847,1
GO:0010608,1
GO:0015758,1
GO:0015766,1
GO:0015770,1
GO:0015772,1
GO:0015949,1
GO:0016458,1
GO:0016646,1
GO:0016769,1
GO:0016805,1
GO:0016833,1
GO:0019172,1
GO:0019243,1
GO:0019249,1
GO:0019333,1
GO:0019388,1
GO:0022610,1
GO:0030170,1
GO:0030968,1
GO:0031047,1
GO:0031048,1
GO:0031334,1
GO:0031668,1
GO:0031669,1
GO:0032494,1
GO:0033499,1
GO:0033592,1
GO:0034057,1
GO:0034354,1
GO:0034620,1
GO:0034976,1
GO:0035966,1
GO:0035967,1
GO:0040029,1
GO:0042219,1
GO:0042559,1
GO:0042594,1
GO:0042710,1
GO:0042834,1
GO:0043171,1
GO:0043254,1
GO:0043650,1
GO:0043708,1
GO:0044087,1
GO:0044421,1
GO:0045814,1
GO:0046437,1
GO:0046654,1
GO:0046655,1
GO:0046656,1
GO:0046685,1
GO:0046686,1
GO:0046777,1
GO:0046912,1
GO:0047484,1
GO:0047810,1
GO:0051049,1
GO:0051050,1
GO:0051595,1
GO:0051596,1
GO:0052803,1
GO:0052805,1
GO:0055069,1
GO:0060241,1
GO:0070573,1
GO:0071172,1
GO:0071216,1
GO:0071219,1
GO:0071224,1
GO:0071276,1
GO:0071466,1
GO:0071496,1
GO:0071585,1
GO:0072507,1
GO:0080134,1
GO:0097367,1
GO:0097501,1
GO:1990170,1
GO:2000142,1
GO:2000144,1
GO:2001023,1